season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99111831,Ефимов Виталий Борисович,2,4,1,3,единая россия,1776,2
7,99111832,Жарков Антон Викторович,1,5,4,3,единая россия,1776,2
7,99111833,Жигарев Сергей Александрович,4,2,2,3,лдпр,1776,2
7,99111836,Журавлев Алексей Александрович,2,4,2,3,Без или др,1776,2
7,99111844,Ильтяков Александр Владимирович,2,4,3,3,единая россия,1776,2
7,99111845,Ильясов Радик Сабитович,1,5,1,2,единая россия,243,2
7,99111850,Каминский Александр Викторович,1,5,3,3,единая россия,1776,2
7,99111852,Каргинов Сергей Генрихович,1,3,2,2,лдпр,1776,2
7,99111854,Карпов Анатолий Евгеньевич,1,4,3,3,единая россия,1776,2
7,99111855,Качкаев Павел Рюрикович,4,5,2,4,единая россия,1776,2
7,99111859,Когогина Альфия Гумаровна,3,4,3,4,единая россия,1776,2
7,99111867,Кривоносов Сергей Владимирович,3,5,1,3,единая россия,1776,2
7,99111873,Кулиева Василина Васильевна,2,4,2,3,лдпр,1776,2
7,99111875,Кумин Вадим Валентинович,2,1,1,1,кпрф,306,2
7,99111877,Курбанов Ризван Даниялович,2,3,2,2,кпрф,1508,2
7,99111880,Левин Леонид Леонидович,4,4,2,4,справедливая россия,1204,2
7,99111883,Лысаков Вячеслав Иванович,4,4,2,4,единая россия,1776,2
7,99111888,Максимова Светлана Викторовна,1,5,4,4,единая россия,1776,2
7,99111892,Марданшин Рафаэль Мирхатимович,4,5,5,5,единая россия,1776,2
7,99111893,Маринин Сергей Владимирович,2,3,2,3,лдпр,1776,2
7,99111904,Москвичев Евгений Сергеевич,4,5,3,5,единая россия,1776,2
7,99111908,Нарышкин Сергей Евгеньевич,1,1,1,1,Без или др,16,2
7,99111909,Некрасов Александр Николаевич,1,1,1,1,кпрф,1465,2
7,99111912,Нилов Олег Анатольевич,5,4,3,5,справедливая россия,1776,2
7,99111920,Петров Александр Петрович,3,5,4,5,единая россия,1776,2
7,99111922,Пимашков Петр Иванович,1,3,5,3,единая россия,1776,2
7,99111929,Прокопьев Александр Сергеевич,1,5,3,3,единая россия,1776,2
7,99111930,Рахматуллина Зугура Ягануровна,1,5,4,4,единая россия,1776,2
7,99111931,Ресин Владимир Иосифович,1,4,3,3,единая россия,1776,2
