season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
6,99110942,Гольдштейн Ростислав Эрнстович,1,5,1,2,единая россия,1372,2
6,99110945,Гридин Владимир Григорьевич,1,5,2,3,единая россия,1153,2
6,99110948,Делимханов Адам Султанович,1,5,2,3,единая россия,1749,2
6,99110949,Демченко Иван Иванович,2,5,2,3,единая россия,1749,2
6,99110950,Денисенко Олег Иванович,1,3,2,2,кпрф,1749,2
6,99110954,Езубов Алексей Петрович,1,5,3,4,единая россия,1749,2
6,99110957,Железняк Сергей Владимирович,4,5,4,5,единая россия,1748,2
6,99110958,Журова Светлана Сергеевна,1,5,3,4,единая россия,1301,2
6,99110963,Звагельский Виктор Фридрихович,4,5,3,5,единая россия,1749,2
6,99110967,Зубарев Виктор Владиславович,1,5,2,3,единая россия,607,2
6,99110973,Исаев Юрий Олегович,1,5,3,3,единая россия,377,2
6,99110976,Кабаева Алина Маратовна,2,5,3,4,единая россия,999,2
6,99110981,Кашин Борис Сергеевич,5,3,2,4,кпрф,1749,2
6,99110982,Квитка Иван Иванович,1,5,3,3,единая россия,1749,2
6,99110985,Колесников Олег Алексеевич,1,5,3,3,единая россия,1749,2
6,99110987,Комоедов Владимир Петрович,1,4,2,2,кпрф,1749,2
6,99110990,Корниенко Алексей Викторович,3,3,3,3,кпрф,1749,2
6,99110992,Кузьмина Алла Владимировна,1,4,2,3,справедливая россия,1749,2
6,99110993,Кузьмичева Екатерина Ивановна,2,5,4,4,единая россия,1749,2
6,99110996,Лебедев Олег Владимирович,3,5,3,4,единая россия,1749,2
6,99110997,Левичев Николай Владимирович,3,4,3,4,справедливая россия,1558,2
6,99110998,Ломакин-Румянцев Александр Вадимович,2,4,2,3,справедливая россия,1749,2
6,99110999,Луговой Андрей Константинович,3,3,3,3,лдпр,1749,2
6,99111002,Маркин Эдуард Витальевич,1,3,3,2,лдпр,1749,2
6,99111005,Михеев Олег Леонидович,2,3,3,3,справедливая россия,1749,2
6,99111008,Москалькова Татьяна Николаевна,4,4,3,4,справедливая россия,1584,2
6,99111009,Музыкаев Аднан Абдулаевич,1,2,1,1,справедливая россия,1749,2
6,99111010,Мукабенова Марина Алексеевна,3,5,4,4,единая россия,1749,2
6,99111011,Мурзабаева Салия Шарифьяновна,3,5,3,4,единая россия,1749,2
6,99111012,Мусалимов Николай Николаевич,1,5,3,3,единая россия,671,2
6,99111015,Напсо Юрий Аисович,1,2,2,2,лдпр,1749,2
6,99111018,Новиков Дмитрий Георгиевич,3,2,1,2,кпрф,1749,2
6,99111024,Осипов Вячеслав Константинович,1,4,2,3,единая россия,365,2
6,99111027,Петров Сергей Анатольевич,1,2,1,1,справедливая россия,1749,2
6,99111028,Петров Сергей Валериевич,1,5,3,4,единая россия,1749,2
6,99111031,Пономарев Илья Владимирович,4,1,2,3,справедливая россия,1633,2
6,99111034,Разворотнев Николай Васильевич,2,3,2,3,кпрф,1749,2
6,99111035,Роднина Ирина Константиновна,2,5,3,4,единая россия,1749,2
6,99111037,Русских Алексей Юрьевич,3,3,1,2,кпрф,1749,2
6,99111040,Рябов Николай Федорович,5,3,2,4,кпрф,1749,2
6,99111048,Свищев Дмитрий Александрович,2,3,2,3,лдпр,1749,2
6,99111049,Селезнев Валерий Сергеевич,3,3,2,3,лдпр,1749,2
6,99111050,Семёнов Владимир Владиславович,1,3,2,2,лдпр,1749,2
6,99111051,Семёнова Екатерина Юрьевна,1,5,1,2,единая россия,155,2
6,99111054,Сибагатуллин Фатих Саубанович,1,5,3,3,единая россия,1749,2
6,99111057,Старшинов Михаил Евгеньевич,2,5,3,4,единая россия,1749,2
6,99111060,Таранин Виктор Иванович,1,4,1,2,кпрф,457,2
6,99111061,Тарасенко Михаил Васильевич,4,5,2,4,единая россия,1749,2
6,99111062,Таскаев Владимир Павлович,1,3,1,2,лдпр,1749,2
6,99111063,Терентьев Александр Васильевич,1,4,2,2,справедливая россия,1749,2
6,99111064,Терентьев Михаил Борисович,3,5,2,4,единая россия,1749,2
6,99111065,Толстопятов Василий Васильевич,2,5,3,4,единая россия,421,2
6,99111067,Тумусов Федот Семёнович,3,4,2,3,справедливая россия,1748,2
6,99111070,Фахритдинов Иршат Юнирович,2,5,2,4,единая россия,1749,2
6,99111071,Фургал Сергей Иванович,2,3,2,3,лдпр,1749,2
6,99111073,Хамчиев Белан Багаудинович,1,5,1,2,единая россия,1749,2
6,99111078,Черешнев Валерий Александрович,4,4,2,4,справедливая россия,1749,2
6,99111079,Черкасов Кирилл Игоревич,4,3,2,3,лдпр,1749,2
6,99111081,Ширшов Константин Владимирович,2,3,1,2,кпрф,1211,2
6,99111082,Шихсаидов Хизри Исаевич,1,5,2,3,единая россия,412,2
6,99111083,Шлегель Роберт Александрович,2,5,2,4,единая россия,1749,2
6,99111084,Шойгу Лариса Кужугетовна,1,5,3,3,единая россия,1749,2
6,99111086,Шхагошев Адальби Люлевич,2,5,3,4,единая россия,1749,2
6,99111089,Эркенов Ахмат Чокаевич,2,5,2,4,единая россия,1749,2
6,99111090,Юсупов Марсель Харисович,1,5,3,4,единая россия,1749,2
6,99111092,Яковлева Лариса Николаевна,2,5,3,4,единая россия,1056,2
6,99111093,Яровая Ирина Анатольевна,5,5,5,5,единая россия,1749,2
